Date,Close
6/1/17,2430.060059
6/2/17,2439.070068
6/5/17,2436.100098
6/6/17,2429.330078
6/7/17,2433.139893
6/8/17,2433.790039
6/9/17,2431.77002
6/12/17,2429.389893
6/13/17,2440.350098
6/14/17,2437.919922
6/15/17,2432.459961
6/16/17,2433.149902
6/19/17,2453.459961
6/20/17,2437.030029
6/21/17,2435.610107
6/22/17,2434.5
6/23/17,2438.300049
6/26/17,2439.070068
6/27/17,2419.379883
6/28/17,2440.689941
6/29/17,2419.699951
6/30/17,2423.409912
7/3/17,2429.01001
7/5/17,2432.540039
7/6/17,2409.75
7/7/17,2425.179932
7/10/17,2427.429932
7/11/17,2425.530029
7/12/17,2443.25
7/13/17,2447.830078
7/14/17,2459.27002
7/17/17,2459.139893
7/18/17,2460.610107
7/19/17,2473.830078
7/20/17,2473.449951
7/21/17,2472.540039
7/24/17,2469.909912
7/25/17,2477.129883
7/26/17,2477.830078
7/27/17,2475.419922
7/28/17,2472.100098
7/31/17,2470.300049
8/1/17,2476.350098
8/2/17,2477.570068
8/3/17,2472.159912
8/4/17,2476.830078
8/7/17,2480.909912
8/8/17,2474.919922
8/9/17,2474.02002
8/10/17,2438.209961
8/11/17,2441.320068
8/14/17,2465.840088
8/15/17,2464.610107
8/16/17,2468.110107
8/17/17,2430.01001
8/18/17,2425.550049
8/21/17,2428.370117
8/22/17,2452.51001
8/23/17,2444.040039
8/24/17,2438.969971
8/25/17,2443.050049
8/28/17,2444.23999
8/29/17,2446.300049
8/30/17,2457.590088
8/31/17,2471.649902
9/1/17,2476.550049
9/5/17,2457.850098
9/6/17,2465.540039
9/7/17,2465.100098
9/8/17,2461.429932
9/11/17,2488.110107
9/12/17,2496.47998
9/13/17,2498.370117
9/14/17,2495.620117
9/15/17,2500.22998
9/18/17,2503.870117
9/19/17,2506.649902
9/20/17,2508.23999
9/21/17,2500.600098
9/22/17,2502.219971
9/25/17,2496.659912
9/26/17,2496.840088
9/27/17,2507.040039
9/28/17,2510.060059
9/29/17,2519.360107
10/2/17,2529.120117
10/3/17,2534.580078
10/4/17,2537.73999
10/5/17,2552.070068
10/6/17,2549.330078
10/9/17,2544.72998
10/10/17,2550.639893
10/11/17,2555.23999
10/12/17,2550.929932
10/13/17,2553.169922
10/16/17,2557.639893
10/17/17,2559.360107
10/18/17,2561.26001
10/19/17,2562.100098
10/20/17,2575.209961
10/23/17,2564.97998
10/24/17,2569.129883
10/25/17,2557.149902
10/26/17,2560.399902
10/27/17,2581.070068
10/30/17,2572.830078
10/31/17,2575.26001
11/1/17,2579.360107
11/2/17,2579.850098
11/3/17,2587.840088
11/6/17,2591.129883
11/7/17,2590.639893
11/8/17,2594.379883
11/9/17,2584.620117
11/10/17,2582.300049
11/13/17,2584.840088
11/14/17,2578.870117
11/15/17,2564.620117
11/16/17,2585.639893
11/17/17,2578.850098
11/20/17,2582.139893
11/21/17,2599.030029
11/22/17,2597.080078
11/24/17,2602.419922
11/27/17,2601.419922
11/28/17,2627.040039
11/29/17,2626.070068
11/30/17,2647.580078
12/1/17,2642.219971
12/4/17,2639.439941
12/5/17,2629.570068
12/6/17,2629.27002
12/7/17,2636.97998
12/8/17,2651.5
12/11/17,2659.98999
12/12/17,2664.110107
12/13/17,2662.850098
12/14/17,2652.01001
12/15/17,2675.810059
12/18/17,2690.159912
12/19/17,2681.469971
12/20/17,2679.25
12/21/17,2684.570068
12/22/17,2683.340088
12/26/17,2680.5
12/27/17,2682.620117
12/28/17,2687.540039
12/29/17,2673.610107
1/2/18,2695.810059
1/3/18,2713.060059
1/4/18,2723.98999
1/5/18,2743.149902
1/8/18,2747.709961
1/9/18,2751.290039
1/10/18,2748.22998
1/11/18,2767.560059
1/12/18,2786.23999
1/16/18,2776.419922
1/17/18,2802.560059
1/18/18,2798.030029
1/19/18,2810.300049
1/22/18,2832.969971
1/23/18,2839.129883
1/24/18,2837.540039
1/25/18,2839.25
1/26/18,2872.870117
1/29/18,2853.530029
1/30/18,2822.429932
1/31/18,2823.810059
2/1/18,2821.97998
2/2/18,2762.129883
2/5/18,2648.939941
2/6/18,2695.139893
2/7/18,2681.659912
2/8/18,2581
2/9/18,2619.550049
2/12/18,2656
2/13/18,2662.939941
2/14/18,2698.629883
2/15/18,2731.199951
2/16/18,2732.219971
2/20/18,2716.26001
2/21/18,2701.330078
2/22/18,2703.959961
2/23/18,2747.300049
2/26/18,2779.600098
2/27/18,2744.280029
2/28/18,2713.830078
3/1/18,2677.669922
3/2/18,2691.25
3/5/18,2720.939941
3/6/18,2728.120117
3/7/18,2726.800049
3/8/18,2738.969971
3/9/18,2786.570068
3/12/18,2783.02002
3/13/18,2765.310059
3/14/18,2749.47998
3/15/18,2747.330078
3/16/18,2752.01001
3/19/18,2712.919922
3/20/18,2716.939941
3/21/18,2711.929932
3/22/18,2643.689941
3/23/18,2588.26001
3/26/18,2658.550049
3/27/18,2612.620117
3/28/18,2605
3/29/18,2640.870117
4/2/18,2581.879883
4/3/18,2614.449951
4/4/18,2644.689941
4/5/18,2662.840088
4/6/18,2604.469971
4/9/18,2613.159912
4/10/18,2656.870117
4/11/18,2642.189941
4/12/18,2663.98999
4/13/18,2656.300049
4/16/18,2677.840088
4/17/18,2706.389893
4/18/18,2708.639893
4/19/18,2693.129883
4/20/18,2670.139893
4/23/18,2670.290039
4/24/18,2634.560059
4/25/18,2639.399902
4/26/18,2666.939941
4/27/18,2669.909912
4/30/18,2648.050049
5/1/18,2654.800049
5/2/18,2635.669922
5/3/18,2629.72998
5/4/18,2663.419922
5/7/18,2672.629883
5/8/18,2671.919922
5/9/18,2697.790039
5/10/18,2723.070068
5/11/18,2727.719971
5/14/18,2730.129883
5/15/18,2711.449951
5/16/18,2722.459961
5/17/18,2720.129883
5/18/18,2712.969971
5/21/18,2733.01001
5/22/18,2724.439941
5/23/18,2733.290039
5/24/18,2727.76001
5/25/18,2721.330078
5/29/18,2689.860107
5/30/18,2724.01001
5/31/18,2705.27002
